filename,text
00498.wav,47353
00499.wav,759-719756
00500.wav,4129
00501.wav,62900
00502.wav,7---7763
00503.wav,52-
00504.wav,29376
00505.wav,07230-02068-063999
00506.wav,0125-66
00507.wav,34066915-8928-44
00508.wav,5671
00509.wav,58-851
00510.wav,6651-6
00511.wav,24-6
00512.wav,11
00513.wav,00
00514.wav,60-46
00515.wav,644-8415
00516.wav,4-23
00517.wav,912492-18
00518.wav,172-18
00519.wav,30
00520.wav,4026-90
00521.wav,92
00522.wav,5163163
00523.wav,554831
00524.wav,0
00525.wav,9534-83-3
00526.wav,56827
00527.wav,961
00528.wav,04164
00529.wav,
00530.wav,41-46792
00531.wav,8812560
00532.wav,53
00533.wav,61
00534.wav,15-
00535.wav,32249
00536.wav,5572-10750-561-59
00537.wav,92
00538.wav,2
00539.wav,604541602
00540.wav,76-88
00541.wav,13953
00542.wav,646
00543.wav,92724649-6
00544.wav,90
00545.wav,85-219
00546.wav,05420
00547.wav,90
00548.wav,11
00549.wav,46
00550.wav,990
00551.wav,0113977
00552.wav,85479-1016
00553.wav,372-20-1
00554.wav,225562
00555.wav,845-578
00556.wav,07706-46
00557.wav,3102825
00558.wav,47
00559.wav,854-264
00560.wav,553993
00561.wav,8336-7017
00562.wav,819-80
00563.wav,63
00564.wav,3
00565.wav,15-93
00566.wav,157-1
00567.wav,9706
00568.wav,0
00569.wav,6321-46-774
00570.wav,
00571.wav,3401
00572.wav,04-23
00573.wav,0-5
00574.wav,633
00575.wav,009-38
00576.wav,28
00577.wav,7113152-6
00578.wav,76-60
00579.wav,92727754
00580.wav,2572
00581.wav,
00582.wav,155
00583.wav,73
00584.wav,2472201
00585.wav,96
00586.wav,58932
00587.wav,1
00588.wav,7700
00589.wav,390
00590.wav,313-9
00591.wav,77
00592.wav,7476
00593.wav,8013246
00594.wav,0
00595.wav,38-459
00596.wav,58450
00597.wav,74915-0631
00598.wav,170-6
00599.wav,83
00600.wav,18
00601.wav,038-023615313
00602.wav,951
00603.wav,9
00604.wav,4
00605.wav,368837537
00606.wav,08-7
00607.wav,79-6123
00608.wav,70358
00609.wav,712141
00610.wav,37
00611.wav,00
00612.wav,466
00613.wav,4916
00614.wav,49-05-760
00615.wav,2
00616.wav,17-33
00617.wav,68-927-171
00618.wav,956-71-278575-5
00619.wav,4859
00620.wav,18-40
00621.wav,42-29
00622.wav,20
00623.wav,0
00624.wav,289-96
00625.wav,523
00626.wav,00
00627.wav,30
00628.wav,9595
00629.wav,35-84
00630.wav,3
00631.wav,392
00632.wav,53
00633.wav,4442223
00634.wav,31-8
00635.wav,8009
00636.wav,064522441
00637.wav,00
00638.wav,588430
00639.wav,03
00640.wav,78
00641.wav,0
00642.wav,90
00643.wav,2280
00644.wav,5287497
00645.wav,0797
00646.wav,32-2
00647.wav,193-58-13
00648.wav,0386236
00649.wav,2847184
00650.wav,33121
00651.wav,707938-761
00652.wav,5765
00653.wav,53-380
00654.wav,9574-13
00655.wav,00
00656.wav,058
00657.wav,59171
00658.wav,3958-578
00659.wav,03
00660.wav,817
00661.wav,0
00662.wav,94204
00663.wav,830-00
00664.wav,34
00665.wav,58098-55
00666.wav,100729
00667.wav,705
00668.wav,0
00669.wav,64025553
00670.wav,64
00671.wav,6
00672.wav,513
00673.wav,5
00674.wav,40-35-9116132-253
00675.wav,56
00676.wav,85
00677.wav,1
00678.wav,27775
00679.wav,0
00680.wav,70
00681.wav,6645721527
00682.wav,682878-87-
00683.wav,80
00684.wav,21-884
00685.wav,18
00686.wav,258--
00687.wav,010
00688.wav,742-332
00689.wav,73
00690.wav,19
00691.wav,603-01
00692.wav,00
00693.wav,202-29
00694.wav,4314
00695.wav,432
00696.wav,01
00697.wav,65012-7
00698.wav,689
00699.wav,98-12-81
00700.wav,346-50-3367-94
00701.wav,00000
00702.wav,181
00703.wav,6099
00704.wav,88
00705.wav,79
00706.wav,04
00707.wav,27881
00708.wav,99
00709.wav,34011
00710.wav,16344-77
00711.wav,40
00712.wav,2911
00713.wav,1701-9
00714.wav,52
00715.wav,68-15
00716.wav,2
00717.wav,765
00718.wav,55-1
00719.wav,044
00720.wav,3090741
00721.wav,04
00722.wav,52899-49
00723.wav,886
00724.wav,541
00725.wav,62-53503059
00726.wav,9369-5
00727.wav,6
00728.wav,3852
00729.wav,9076422202-2904
00730.wav,54-1--96
00731.wav,000
00732.wav,431
00733.wav,471-071-2
00734.wav,246-18
00735.wav,6
00736.wav,0
00737.wav,4360
00738.wav,00
00739.wav,3
00740.wav,49
00741.wav,41-60
00742.wav,441-5846
00743.wav,057
00744.wav,
00745.wav,3452682
00746.wav,5041-0
00747.wav,78--0
00748.wav,65276
00749.wav,8358
00750.wav,30
00751.wav,0
00752.wav,99-01-26
00753.wav,4067671016
00754.wav,99720
00755.wav,0
00756.wav,95-825
00757.wav,06
00758.wav,348-91
00759.wav,8810
00760.wav,0
00761.wav,267472
00762.wav,00
00763.wav,61-75
00764.wav,08479-29
00765.wav,230435
00766.wav,41
00767.wav,470-48
00768.wav,7-
00769.wav,163-3
00770.wav,2535
00771.wav,638-8
00772.wav,03
00773.wav,4796-8981
00774.wav,78
00775.wav,14-80778-12
00776.wav,29-820
00777.wav,03
00778.wav,669
00779.wav,7782
00780.wav,5312
00781.wav,0
00782.wav,00
00783.wav,00
00784.wav,59-5
00785.wav,50639
00786.wav,71
00787.wav,89550-5597
00788.wav,0
00789.wav,253-82-74501614664
00790.wav,884
00791.wav,44
00792.wav,7685685-04-052
00793.wav,759
00794.wav,900
00795.wav,854680843
00796.wav,27
00797.wav,080-0396
00798.wav,765
00799.wav,3088
00800.wav,8938
00801.wav,2932
00802.wav,94-13545
00803.wav,920200
00804.wav,373
00805.wav,51434
00806.wav,003-5054
00807.wav,572
00808.wav,85
00809.wav,7
00810.wav,181753
00811.wav,366595
00812.wav,26
00813.wav,96701
00814.wav,9502
00815.wav,822-76-0
00816.wav,4821
00817.wav,507
00818.wav,36
00819.wav,09-4
00820.wav,932914-9
00821.wav,760
00822.wav,4--3
00823.wav,1355544
00824.wav,600
00825.wav,068-69
00826.wav,074
00827.wav,529
00828.wav,23205-4176
00829.wav,3577
00830.wav,84-2
00831.wav,3467-688-0
00832.wav,0107
00833.wav,97-107
00834.wav,52-3
00835.wav,01
00836.wav,53510482-2
00837.wav,276-76-65-31
00838.wav,66
00839.wav,5605-
00840.wav,96
00841.wav,8511344471
00842.wav,0
00843.wav,050
00844.wav,40-533
00845.wav,39
00846.wav,06
00847.wav,74-3
00848.wav,3593865
00849.wav,6
00850.wav,55-3212421
00851.wav,501
00852.wav,000
00853.wav,569
00854.wav,90
00855.wav,689
00856.wav,766-17
00857.wav,61-86-30
00858.wav,058
00859.wav,34
00860.wav,4
00861.wav,6879
00862.wav,72-0827-7
00863.wav,4190
00864.wav,372812
00865.wav,45
00866.wav,4374
00867.wav,117
00868.wav,00-3
00869.wav,76-838390
00870.wav,26-083654
00871.wav,749-9
00872.wav,713894
00873.wav,0667
00874.wav,20-06
00875.wav,20-172-134
00876.wav,3661
00877.wav,56
00878.wav,2858-35
00879.wav,441-458
00880.wav,0
00881.wav,0044
00882.wav,856
00883.wav,962
00884.wav,5728513
00885.wav,6833327
00886.wav,415
00887.wav,5412
00888.wav,842173
00889.wav,4
00890.wav,313
00891.wav,66
00892.wav,51
00893.wav,55-1-43-07
00894.wav,1031081
00895.wav,14
00896.wav,-72
00897.wav,05-09
00898.wav,7554
00899.wav,0
00900.wav,37-02
00901.wav,766
00902.wav,379-7878
00903.wav,4289-39-4
00904.wav,74129797-10
00905.wav,40
00906.wav,46-375
00907.wav,31
00908.wav,470
00909.wav,361-06
00910.wav,61
00911.wav,52-30717415631245
00912.wav,434645103
00913.wav,1
00914.wav,9464
00915.wav,40-9
00916.wav,99-707
00917.wav,4851
00918.wav,2684112
00919.wav,18-6
00920.wav,11392-2981863
00921.wav,61220-11
00922.wav,75-62
00923.wav,998914
00924.wav,04310
00925.wav,1297-97-235
00926.wav,121
00927.wav,65467
00928.wav,-7
00929.wav,74-55903
00930.wav,40
00931.wav,06620
00932.wav,75--6
00933.wav,52
00934.wav,9742566884970
00935.wav,663-2
00936.wav,0905
00937.wav,000
00938.wav,49-0
00939.wav,32
00940.wav,2888-37
00941.wav,80
00942.wav,8430-509
00943.wav,17938494-619-02
00944.wav,995
00945.wav,20
00946.wav,45-20-873-94
00947.wav,2891
00948.wav,40-3828
00949.wav,8625
00950.wav,9597
00951.wav,3356-70
00952.wav,626660247-151
00953.wav,378-551-92326
00954.wav,932-2429-6394
00955.wav,00
00956.wav,0
00957.wav,24-588-8
00958.wav,804812238
00959.wav,771
00960.wav,9
00961.wav,6223
00962.wav,190
00963.wav,00
00964.wav,55443
00965.wav,0
00966.wav,504-6566-0
00967.wav,40
00968.wav,7452218666-95
00969.wav,95-704
00970.wav,83-5671833-7938
00971.wav,393---
00972.wav,284
00973.wav,815177
00974.wav,99992
00975.wav,7497
00976.wav,10
00977.wav,223338-4
00978.wav,7-7271
00979.wav,685
00980.wav,870
00981.wav,5708
00982.wav,88-32
00983.wav,70
00984.wav,9907106115
00985.wav,76138-0-488
00986.wav,99-3012883
00987.wav,009
00988.wav,87-915
00989.wav,707
00990.wav,0
00991.wav,0
00992.wav,06
00993.wav,87
00994.wav,00
00995.wav,530-17
00996.wav,47-0
00997.wav,37818
00998.wav,93-576
00999.wav,8
01000.wav,492192
01001.wav,737
01002.wav,1
01003.wav,137
01004.wav,182210-0
01005.wav,203-50
01006.wav,090
01007.wav,697-23
01008.wav,36-7
01009.wav,95
01010.wav,9990
01011.wav,8618-4
01012.wav,7727
01013.wav,7048
01014.wav,200
01015.wav,630
01016.wav,125472
01017.wav,94-05
01018.wav,661
01019.wav,301
01020.wav,533532891
01021.wav,12-479917
01022.wav,51--8-53
01023.wav,720
01024.wav,452887
01025.wav,16
01026.wav,79-655126
01027.wav,5858
01028.wav,380882
01029.wav,099
01030.wav,187-439
01031.wav,54
01032.wav,806
01033.wav,757
01034.wav,374
01035.wav,108619-574835-79-267
01036.wav,48-32-13
01037.wav,58757205
01038.wav,344
01039.wav,00
01040.wav,16560
01041.wav,4534406-698
01042.wav,2
01043.wav,00
01044.wav,90
01045.wav,9
01046.wav,909
01047.wav,5403
01048.wav,80
01049.wav,86-2
01050.wav,40271
01051.wav,16949-73
01052.wav,3818
01053.wav,0
01054.wav,853
01055.wav,8530
01056.wav,76-34-68
01057.wav,66-3
01058.wav,84-138
01059.wav,78-0
01060.wav,7
01061.wav,20
01062.wav,9591
01063.wav,550326-33
01064.wav,633-394
01065.wav,000
01066.wav,9680
01067.wav,67-25
01068.wav,935336
01069.wav,525-1007313
01070.wav,388-01
01071.wav,73
01072.wav,5130-8253
01073.wav,5756
01074.wav,86
01075.wav,9958
01076.wav,8257131
01077.wav,27-0018-9
01078.wav,69-0
01079.wav,898
01080.wav,83581395
01081.wav,71231-8142026
01082.wav,0365
01083.wav,88
01084.wav,475-98
01085.wav,86-57-62-87
01086.wav,40-47593-71
01087.wav,19
01088.wav,514
01089.wav,2850575
01090.wav,39
01091.wav,19-53814
01092.wav,693-525-37
01093.wav,37-31-6
01094.wav,99317
01095.wav,73-6635
01096.wav,08
01097.wav,083
01098.wav,79
01099.wav,602
01100.wav,121-874-50938-493
01101.wav,45--0
01102.wav,07-26-126-1
01103.wav,6
01104.wav,66085
01105.wav,2375
01106.wav,56717
01107.wav,37458
01108.wav,8711030412-7
01109.wav,078-24-74543
01110.wav,51
01111.wav,743-1406
01112.wav,03-97
01113.wav,0
01114.wav,2688337
01115.wav,071126-52623
01116.wav,37
01117.wav,4521
01118.wav,72-581366
01119.wav,827
01120.wav,04-304
01121.wav,0
01122.wav,00
01123.wav,3-1
01124.wav,42521
01125.wav,31
01126.wav,8158-4
01127.wav,00
01128.wav,4233288
01129.wav,61-58
01130.wav,741
01131.wav,02-30-22
01132.wav,624-77-1
01133.wav,14-58-69285-11
01134.wav,086
01135.wav,81659
01136.wav,94838-021-45-0
01137.wav,537-01108-93
01138.wav,56
01139.wav,870
01140.wav,789621-49-80
01141.wav,777
01142.wav,48
01143.wav,18-8941
01144.wav,0679863
01145.wav,19-87
01146.wav,552
01147.wav,7330
01148.wav,207-
01149.wav,4
01150.wav,107
01151.wav,
01152.wav,4435-527
01153.wav,789
01154.wav,8115-1
01155.wav,5
01156.wav,2
01157.wav,91-6
01158.wav,32-478
01159.wav,742
01160.wav,0
01161.wav,844-6
01162.wav,14465
01163.wav,45
01164.wav,00
01165.wav,66-73-9
01166.wav,3265-34286
01167.wav,650565-6
01168.wav,1120-876
01169.wav,2
01170.wav,457497-7
01171.wav,5083
01172.wav,1
01173.wav,37
01174.wav,64520
01175.wav,91
01176.wav,0
01177.wav,2963
01178.wav,6243
01179.wav,880-7
01180.wav,6651490
01181.wav,538
01182.wav,1026-88
01183.wav,136
01184.wav,811-99
01185.wav,64-2555-41
01186.wav,000
01187.wav,99633-4
01188.wav,1205
01189.wav,30-51-66695
01190.wav,194-21
01191.wav,19-348
01192.wav,521
01193.wav,7320-85
01194.wav,500-5
01195.wav,482
01196.wav,25-585357764
01197.wav,61053
01198.wav,138-4841
01199.wav,96
01200.wav,23-4
01201.wav,37-97
01202.wav,16513835-3
01203.wav,98826985
01204.wav,063250
01205.wav,515206-427-97559
01206.wav,8306-342
01207.wav,170
01208.wav,42015
01209.wav,20272709
01210.wav,98955-53
01211.wav,5117448
01212.wav,
01213.wav,960
01214.wav,666
01215.wav,37-2978-693
01216.wav,274-525
01217.wav,158588
01218.wav,725444
01219.wav,67-95
01220.wav,710-560
01221.wav,7-5
01222.wav,034
01223.wav,33398
01224.wav,5626
01225.wav,684350
01226.wav,0
01227.wav,480
01228.wav,
01229.wav,6973
01230.wav,18203
01231.wav,40-452221
01232.wav,7925-868
01233.wav,06601
01234.wav,375
01235.wav,636-
01236.wav,7562430426
01237.wav,77271
01238.wav,954
01239.wav,2
01240.wav,05553
01241.wav,75609386
01242.wav,000
01243.wav,350-12140-3
01244.wav,7782
01245.wav,7166
01246.wav,13-14
01247.wav,58-59
01248.wav,1930834
01249.wav,754-37896-428
01250.wav,00
01251.wav,1039054
01252.wav,0476-021
01253.wav,0
01254.wav,361
01255.wav,738445
01256.wav,933
01257.wav,58-71
01258.wav,300-741
01259.wav,4019
01260.wav,58-5457
01261.wav,60656-3
01262.wav,14-1--
01263.wav,73-527-384031-950
01264.wav,0262-85
01265.wav,353-97
01266.wav,8757
01267.wav,604
01268.wav,10
01269.wav,325530-63
01270.wav,1330
01271.wav,8446-220
01272.wav,07-55-9
01273.wav,55
01274.wav,789-69598
01275.wav,944
01276.wav,36556-4
01277.wav,596
01278.wav,00
01279.wav,50
01280.wav,86-068-9
01281.wav,73
01282.wav,3901
01283.wav,7423
01284.wav,3889
01285.wav,52
01286.wav,
01287.wav,70
01288.wav,080
01289.wav,1045-936
01290.wav,7
01291.wav,58-8
01292.wav,0
01293.wav,82357
01294.wav,55
01295.wav,54240-1
01296.wav,4561
01297.wav,4
01298.wav,21
01299.wav,89317494
01300.wav,
01301.wav,62-92526
01302.wav,
01303.wav,71601-16336
01304.wav,75233033-056-373-7160
01305.wav,77
01306.wav,8794-8448
01307.wav,3854-41
01308.wav,042-79
01309.wav,77
01310.wav,0189821
01311.wav,809
01312.wav,989-473
01313.wav,03
01314.wav,89592
01315.wav,53-2
01316.wav,15-05-64
01317.wav,8022
01318.wav,99
01319.wav,44
01320.wav,61830
01321.wav,10
01322.wav,1-1-4
01323.wav,9045091
01324.wav,67
01325.wav,4524
01326.wav,44-9
01327.wav,0567
01328.wav,7353-15
01329.wav,458
01330.wav,0279
01331.wav,05673
01332.wav,220
01333.wav,64552453
01334.wav,27246
01335.wav,11
01336.wav,4372
01337.wav,65
01338.wav,48-13891-21
01339.wav,7964-62
01340.wav,451-8
01341.wav,4367-9928
01342.wav,5763
01343.wav,828
01344.wav,966-550
01345.wav,000
01346.wav,6727-49-552
01347.wav,00
01348.wav,13-866
01349.wav,906-884-9
01350.wav,00
01351.wav,085-625-51-01-44
01352.wav,5965-57044
01353.wav,000
01354.wav,580-0
01355.wav,62
01356.wav,570---25
01357.wav,0
01358.wav,97-84-7
01359.wav,8098
01360.wav,50329
01361.wav,41
01362.wav,4675-
01363.wav,4564-116
01364.wav,82207218
01365.wav,85-604
01366.wav,534
01367.wav,2263-9713359-095-3
01368.wav,19--
01369.wav,8933-77
01370.wav,864-85743
01371.wav,09-46
01372.wav,0
01373.wav,979990
01374.wav,47352
01375.wav,910
01376.wav,6219
01377.wav,0
01378.wav,5284
01379.wav,3
01380.wav,76842
01381.wav,8787
01382.wav,53
01383.wav,9466-0
01384.wav,772-007
01385.wav,45-90654-93
01386.wav,6634
01387.wav,39408
01388.wav,5-45464
01389.wav,79
01390.wav,773-0198
01391.wav,76-162580
01392.wav,267
01393.wav,0
01394.wav,44240
01395.wav,75-88-8
01396.wav,3
01397.wav,1
01398.wav,52
01399.wav,939816050227-75-8
01400.wav,385
01401.wav,5547
01402.wav,5621
01403.wav,34862136
01404.wav,47-581238
01405.wav,2933-73
01406.wav,3628-953
01407.wav,7961
01408.wav,32
01409.wav,00
01410.wav,2
01411.wav,54
01412.wav,72
01413.wav,475-0
01414.wav,74616-37
01415.wav,66
01416.wav,7285285
01417.wav,83-297-47-79
01418.wav,20
01419.wav,85
01420.wav,050
01421.wav,47-3
01422.wav,534-42-744
01423.wav,0930
01424.wav,01-08911
01425.wav,262----81
01426.wav,52
01427.wav,91
01428.wav,12-28722
01429.wav,56569
01430.wav,701
01431.wav,718354-96-7
01432.wav,93399
01433.wav,3
01434.wav,00
01435.wav,8191
01436.wav,50-323-4141802-704
01437.wav,58
01438.wav,4--6
01439.wav,82
01440.wav,00
01441.wav,38
01442.wav,14
01443.wav,10
01444.wav,0504343
01445.wav,799
01446.wav,85-3
01447.wav,65
01448.wav,00
01449.wav,677160868-11-78
01450.wav,09
01451.wav,10603
01452.wav,826
01453.wav,890-96
01454.wav,0229220
01455.wav,0400-9
01456.wav,243-926869-6245-873-4
01457.wav,573-02-40-4431
01458.wav,86-17
01459.wav,25
01460.wav,84
01461.wav,2288
01462.wav,738-6
01463.wav,735
01464.wav,69
01465.wav,22
01466.wav,870-900
01467.wav,09
01468.wav,85210
01469.wav,4
01470.wav,776
01471.wav,6
01472.wav,771
